q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
0.725222714412117	0.46831541010509	-0.291574085338192	0.770612291757194	792	HGDP1KG	q2	eas-nfe	pruneall	StandingHeight	no-FGr	40
1.48103416127526	0.138597470567229	0.334134139498029	0.738278339461321	907	HGDP1KG	q2	eas-nfe	pruneall	StandingHeight	FGr-LOCO	0
0.767138926728928	0.442998919834003	-0.143745863787907	0.885701153193785	795	HGDP1KG	q2	eas-nfe	pruneall	StandingHeight	FGr-LOCO	40
-5.81915089609547	5.91473201313786e-09	-6.58200715396608	4.641392484692e-11	1450	HGDP1KG	q2	eas-sas	pruneall	StandingHeight	no-FGr	0
0.27678618096946	0.78194429277377	-0.634471789952945	0.525772971412203	788	HGDP1KG	q2	eas-sas	pruneall	StandingHeight	no-FGr	40
0.504157998715802	0.614150352834545	0.580692312568468	0.561447843729335	1236	HGDP1KG	q2	eas-sas	pruneall	StandingHeight	FGr-LOCO	0
0.0524026553341114	0.958207858375433	-1.05579867111998	0.291060205493494	793	HGDP1KG	q2	eas-sas	pruneall	StandingHeight	FGr-LOCO	40
-2.26563609609559	0.0234736731274801	-2.72482672969359	0.00643352400970057	1450	HGDP1KG	q2	eas-afr	pruneall	StandingHeight	no-FGr	0
-2.19911537979798	0.0278697192150588	-1.97850266933287	0.0478720277552192	791	HGDP1KG	q2	eas-afr	pruneall	StandingHeight	no-FGr	40
-1.71500765473887	0.0863438235055827	-2.245610342229	0.0247289774561707	1452	HGDP1KG	q2	eas-afr	pruneall	StandingHeight	FGr-LOCO	0
-2.22624637301967	0.0259976833518138	-2.01644254185063	0.0437537207884719	789	HGDP1KG	q2	eas-afr	pruneall	StandingHeight	FGr-LOCO	40
-19.875073368238	6.68886417813243e-88	-24.2197152488176	1.37921948108241e-129	1450	HGDP1KG	q2	eas-amr	pruneall	StandingHeight	no-FGr	0
0.690937359201521	0.489604907208212	-0.167630677057987	0.866873835881351	790	HGDP1KG	q2	eas-amr	pruneall	StandingHeight	no-FGr	40
