D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
0.000119429715518606	1.0000100001e-05	2.45924093422237e-11	3.31331331016404e-108	0.000119429715518606	99999	4.03681710826381e-12	9.54667116852128e-11	0.042285075467715	0.957714924532285	HGDP1KG	e50	eas-afr	pruneall
6.36849773396086e-05	1.0000100001e-05	6.99162327661027e-12	6.03271872370669e-92	6.36849773396086e-05	99999	4.47738580202286e-12	5.09068898302159e-11	0.0879524523489018	0.912047547651098	HGDP1KG	e50	eas-amr	pruneall
0.000230735067616839	1.0000100001e-05	9.17937777145596e-11	9.47055627492035e-118	0.000230735067616839	99999	6.39381511200021e-12	1.84439174791579e-10	0.0346662530843861	0.965333746915614	HGDP1KG	e50	nfe-sas	pruneall
0.000284873313978095	1.0000100001e-05	1.3993097322212e-10	9.68215647902029e-120	0.000284873313978095	99999	4.67801872882412e-12	2.27714839763818e-10	0.0205433195907481	0.979456680409252	HGDP1KG	e50	nfe-afr	pruneall
0.00013109416886725	1.0000100001e-05	2.96298113107722e-11	6.12006827520563e-110	0.00013109416886725	99999	5.32710203250002e-12	1.04790748002013e-10	0.0508356141555329	0.949164385844467	HGDP1KG	e50	nfe-amr	pruneall
0.000190505861307318	1.0000100001e-05	6.25774542737659e-11	1.51113769193123e-115	0.000190505861307318	99999	4.06451771606177e-12	1.52281767203368e-10	0.0266907706070532	0.973309229392947	HGDP1KG	e50	sas-afr	pruneall
5.62070837263019e-05	1.0000100001e-05	5.44588573350032e-12	1.47750741519716e-87	5.62070837263019e-05	99999	4.46047740486243e-12	4.49293999693862e-11	0.0992774755038279	0.900722524496172	HGDP1KG	e50	sas-amr	pruneall
0.000203742199968175	1.0000100001e-05	7.15753324850374e-11	2.30396231261627e-116	0.000203742199968175	99999	4.28940593614207e-12	1.62862297527976e-10	0.026337623877652	0.973662376122348	HGDP1KG	e50	afr-amr	pruneall
0.00518099396845674	1.0000100001e-05	4.62875065646769e-08	6.00604834732268e-128	0.00518099396845674	99999	5.16908856442744e-12	3.77066661653909e-09	0.00137086862618788	0.998629131373812	HGDP1KG	e200	eurasia-lat	pruneall
0.00404416145943567	1.0000100001e-05	2.82029203939553e-08	8.22292942877687e-128	0.00404416145943567	99999	5.06333946932048e-12	2.94329325604877e-09	0.00172029730945593	0.998279702690544	HGDP1KG	e200	eurasia-long	pruneall
