FID	IID	long
0	NA20761	12
0	NA20762	12
0	NA20763	12
0	NA20764	12
0	NA20765	12
0	NA20766	12
0	NA20767	12
0	NA20768	12
0	NA20769	12
0	NA20770	12
0	NA20771	12
0	NA20772	12
0	NA20773	12
0	NA20774	12
0	NA20775	12
0	NA20778	12
0	NA20783	12
0	NA20785	12
0	NA20786	12
0	NA20787	12
0	NA20790	12
0	NA20792	12
0	NA20795	12
0	NA20796	12
0	NA20797	12
0	NA20798	12
0	NA20799	12
0	NA20800	12
0	NA20801	12
0	NA20802	12
0	NA20803	12
0	NA20804	12
0	NA20805	12
0	NA20806	12
0	NA20807	12
0	NA20808	12
0	NA20809	12
0	NA20810	12
0	NA20811	12
0	NA20812	12
0	NA20813	12
0	NA20814	12
0	NA20815	12
0	NA20818	12
0	NA20819	12
0	NA20821	12
0	NA20822	12
0	NA20826	12
0	NA20827	12
0	NA20828	12
0	NA20832	12
0	HG01776	-3.716667
0	HG01777	-3.716667
0	HG01778	-3.716667
0	HG02232	-3.716667
0	HG02233	-3.716667
0	HG02234	-3.716667
