PC	B	B2	lc	uc	r2	dataset	gwas	contrasts	gwas_type	test_type	L
32	0.0106382407568345	0.000113172166400375	-0.00896369826838036	0.0302320070751989	0.121641270959184	HGDP	q1	AFRICA-EUROPE	even	odd	3162
33	-0.00606236859852728	3.67523130244096e-05	-0.0256593896788711	0.0135393101830077	0.121678023272209	HGDP	q1	AFRICA-EUROPE	even	odd	3162
34	-0.00710351179516273	5.04598798240161e-05	-0.0266998643931004	0.0124982983366481	0.121728483152033	HGDP	q1	AFRICA-EUROPE	even	odd	3162
35	-0.0183353198676255	0.000336183954648142	-0.0379217617914843	0.00126520481565101	0.122064667106681	HGDP	q1	AFRICA-EUROPE	even	odd	3162
36	-0.00282475702077141	7.97925222639737e-06	-0.0224235855313232	0.0167762418052863	0.122072646358907	HGDP	q1	AFRICA-EUROPE	even	odd	3162
37	-0.0111673627959721	0.000124709991816862	-0.0307606998625056	0.00843455337041142	0.122197356350724	HGDP	q1	AFRICA-EUROPE	even	odd	3162
38	-0.0213624294237857	0.000456353390886225	-0.0409453553962904	-0.00176309763965387	0.12265370974161	HGDP	q1	AFRICA-EUROPE	even	odd	3162
39	0.00197305583671203	3.89294933478343e-06	-0.0176276958642424	0.0215722915944767	0.122657602690945	HGDP	q1	AFRICA-EUROPE	even	odd	3162
40	-0.00403976475331802	1.63196992621506e-05	-0.02363796310928	0.0155615374062357	0.122673922390207	HGDP	q1	AFRICA-EUROPE	even	odd	3162
1	0.406852849620093	0.16552924124399	0.39036569004623	0.42307914087274	0.16552924124399	HGDP	q1	AFRICA-EUROPE	even	odd	10000
2	-0.060373572464427	0.00364496825211742	-0.0798791194080044	-0.0408218079791148	0.169174209496107	HGDP	q1	AFRICA-EUROPE	even	odd	10000
3	-0.258002225012239	0.0665651481112659	-0.276205561696123	-0.239613849099451	0.235739357607373	HGDP	q1	AFRICA-EUROPE	even	odd	10000
4	-0.0146791312402289	0.000215476893967865	-0.0342693415415662	0.00492235498249393	0.235954834501341	HGDP	q1	AFRICA-EUROPE	even	odd	10000
5	0.00588244055076216	3.4603106833251e-05	-0.0137192112249248	0.0254795728537744	0.235989437608174	HGDP	q1	AFRICA-EUROPE	even	odd	10000
6	0.0373722672209315	0.00139668635723271	0.0177852248791981	0.0569306355863665	0.237386123965407	HGDP	q1	AFRICA-EUROPE	even	odd	10000
7	0.119890212297626	0.0143736630047699	0.100526364832712	0.139163268581057	0.251759786970177	HGDP	q1	AFRICA-EUROPE	even	odd	10000
8	0.0102217681353953	0.000104484543813782	-0.00938018116136662	0.0298158646074338	0.251864271513991	HGDP	q1	AFRICA-EUROPE	even	odd	10000
9	-0.0132084617101249	0.000174463460747837	-0.0328000402156486	0.00639326342334566	0.252038734974738	HGDP	q1	AFRICA-EUROPE	even	odd	10000
10	-0.011135101896641	0.000123990494248578	-0.0307284654487751	0.008466815977715	0.252162725468987	HGDP	q1	AFRICA-EUROPE	even	odd	10000
11	0.0204136499449605	0.000416717104075385	0.000813905593760861	0.0399977165020184	0.252579442573062	HGDP	q1	AFRICA-EUROPE	even	odd	10000
12	-0.0110620279436208	0.000122368462225448	-0.0306554513374064	0.00853989364854555	0.252701811035288	HGDP	q1	AFRICA-EUROPE	even	odd	10000
13	0.0334692949775345	0.00112019370629321	0.01387832916662	0.0530345742711237	0.253822004741581	HGDP	q1	AFRICA-EUROPE	even	odd	10000
14	0.0112240572537059	0.000125979461234467	-0.00837785581225609	0.0308173476763945	0.253947984202816	HGDP	q1	AFRICA-EUROPE	even	odd	10000
15	0.0633985994024567	0.00401938240619319	0.0438530219102574	0.0828956618470796	0.257967366609009	HGDP	q1	AFRICA-EUROPE	even	odd	10000
16	0.0248234349781517	0.000616202924114524	0.00522590759466259	0.0444019016318475	0.258583569533123	HGDP	q1	AFRICA-EUROPE	even	odd	10000
17	0.0247857066310466	0.000614331253200306	0.00518815704383509	0.0443642244226306	0.259197900786324	HGDP	q1	AFRICA-EUROPE	even	odd	10000
18	-0.030577010941	0.000934953598086034	-0.0501470272502518	-0.0109835234914152	0.26013285438441	HGDP	q1	AFRICA-EUROPE	even	odd	10000
19	-0.00938312754401443	8.80430825072423e-05	-0.0289778682276501	0.0102188218011873	0.260220897466917	HGDP	q1	AFRICA-EUROPE	even	odd	10000
20	0.023490512238888	0.000551804165245346	0.00389223428247174	0.0430707517913567	0.260772701632162	HGDP	q1	AFRICA-EUROPE	even	odd	10000
21	-0.0332144137054547	0.0011031972777971	-0.0527801235919994	-0.0136232124805034	0.261875898909959	HGDP	q1	AFRICA-EUROPE	even	odd	10000
22	0.00582741680144232	3.39587865777322e-05	-0.0137742264622141	0.025424582864227	0.261909857696537	HGDP	q1	AFRICA-EUROPE	even	odd	10000
23	0.00773424695564659	5.98185759709285e-05	-0.0118676220804564	0.0273301739280122	0.261969676272508	HGDP	q1	AFRICA-EUROPE	even	odd	10000
24	0.0161192973735905	0.000259831747818243	-0.00348187268915442	0.0357080857860576	0.262229508020326	HGDP	q1	AFRICA-EUROPE	even	odd	10000
25	0.0249953631393673	0.000624768178468842	0.00539793764555394	0.0445735960523951	0.262854276198795	HGDP	q1	AFRICA-EUROPE	even	odd	10000
26	0.015441326345788	0.000238434559317126	-0.00416000268563312	0.0350307942402991	0.263092710758112	HGDP	q1	AFRICA-EUROPE	even	odd	10000
27	-0.0193339266022902	0.000373800717862743	-0.0389192482986985	0.000266244292129905	0.263466511475975	HGDP	q1	AFRICA-EUROPE	even	odd	10000
28	-0.0324555893745046	0.00105336528164646	-0.0520225661667421	-0.0128637023828343	0.264519876757621	HGDP	q1	AFRICA-EUROPE	even	odd	10000
29	0.00121724016274543	1.48167361380052e-06	-0.0183832684272597	0.0208168135174935	0.264521358431235	HGDP	q1	AFRICA-EUROPE	even	odd	10000
30	-0.0194921457023471	0.00037994374408153	-0.0390772863280416	0.00010796554773857	0.264901302175317	HGDP	q1	AFRICA-EUROPE	even	odd	10000
31	-0.0145826509448053	0.000212653708578032	-0.0341729535998674	0.00501885355095847	0.265113955883895	HGDP	q1	AFRICA-EUROPE	even	odd	10000
32	0.0208298479511192	0.000433882565666743	0.00123028023116933	0.0404134185092082	0.265547838449561	HGDP	q1	AFRICA-EUROPE	even	odd	10000
33	-0.0131518842891241	0.00017297206035451	-0.0327435137385886	0.00644984834105837	0.265720810509916	HGDP	q1	AFRICA-EUROPE	even	odd	10000
34	-0.00476149760118746	2.26718594061139e-05	-0.0243592942554601	0.0148399573501436	0.265743482369322	HGDP	q1	AFRICA-EUROPE	even	odd	10000
35	-0.00170406392452507	2.90383385886777e-06	-0.0213034223971965	0.0178966038200926	0.265746386203181	HGDP	q1	AFRICA-EUROPE	even	odd	10000
36	-0.00203582988151962	4.14460330648821e-06	-0.021635036593585	0.0175649410040529	0.265750530806487	HGDP	q1	AFRICA-EUROPE	even	odd	10000
37	-0.0169375102512081	0.000286879253509778	-0.0365254546648767	0.00266344395141753	0.266037410059997	HGDP	q1	AFRICA-EUROPE	even	odd	10000
38	-0.00798386586598453	6.37421141660329e-05	-0.0275796200897437	0.0116180221745565	0.266101152174163	HGDP	q1	AFRICA-EUROPE	even	odd	10000
39	0.0166642929057653	0.00027769865804914	-0.0029367362970105	0.0362525220617364	0.266378850832212	HGDP	q1	AFRICA-EUROPE	even	odd	10000
40	-0.00292233692380085	8.54005309620982e-06	-0.0225211169612039	0.0166786884003781	0.266387390885309	HGDP	q1	AFRICA-EUROPE	even	odd	10000
1	0.560364327688584	0.314008179745878	0.546769525834214	0.573663745486227	0.314008179745878	HGDP	q1	AFRICA-EUROPE	even	odd	31623
2	-0.0619580939019986	0.00383880539996888	-0.0814592411882518	-0.0424095253054943	0.317846985145847	HGDP	q1	AFRICA-EUROPE	even	odd	31623
3	-0.329138480806777	0.108332139547793	-0.346503211032048	-0.311548251338458	0.42617912469364	HGDP	q1	AFRICA-EUROPE	even	odd	31623
4	0.00396079236077068	1.56878761251394e-05	-0.0156404918410084	0.0235590334325483	0.426194812569765	HGDP	q1	AFRICA-EUROPE	even	odd	31623
5	0.000391795844273582	1.53503983590049e-07	-0.0192084216636637	0.0199917123255237	0.426194966073749	HGDP	q1	AFRICA-EUROPE	even	odd	31623
6	0.0497715890474122	0.00247721107630449	0.0302009809063951	0.0693040511021603	0.428672177150054	HGDP	q1	AFRICA-EUROPE	even	odd	31623
7	0.153651023235795	0.0236086369414067	0.134455876627129	0.17273090189556	0.45228081409146	HGDP	q1	AFRICA-EUROPE	even	odd	31623
8	0.00421167161618679	1.77381778025934e-05	-0.0153896687886091	0.0238097761437097	0.452298552269263	HGDP	q1	AFRICA-EUROPE	even	odd	31623
9	-0.00859951903063433	7.3951727558242e-05	-0.0281948367598967	0.0110024054398569	0.452372503996821	HGDP	q1	AFRICA-EUROPE	even	odd	31623
10	-0.0193391483093764	0.000374002657332058	-0.0389244640455404	0.000261020632271336	0.452746506654153	HGDP	q1	AFRICA-EUROPE	even	odd	31623
11	0.0335387996180217	0.00112485107981781	0.0139478984457545	0.0531039610505431	0.453871357733971	HGDP	q1	AFRICA-EUROPE	even	odd	31623
12	-0.0111846046090028	0.000125095380259727	-0.0307779275036158	0.00841731062782258	0.453996453114231	HGDP	q1	AFRICA-EUROPE	even	odd	31623
13	0.0600047358273412	0.003600568321709	0.0404522415861044	0.079511292834696	0.45759702143594	HGDP	q1	AFRICA-EUROPE	even	odd	31623
14	0.00914706985755107	8.36688869789193e-05	-0.0104548745280362	0.0287419869040176	0.457680690322919	HGDP	q1	AFRICA-EUROPE	even	odd	31623
15	0.0911570782873396	0.00830961292188417	0.0716850869631019	0.110559613074398	0.465990303244803	HGDP	q1	AFRICA-EUROPE	even	odd	31623
16	0.0393938013403887	0.00155187158404601	0.0198090263086925	0.0589483560633257	0.467542174828849	HGDP	q1	AFRICA-EUROPE	even	odd	31623
17	0.0255470340338621	0.000652650947927308	0.0059499433090986	0.0451245091268302	0.468194825776776	HGDP	q1	AFRICA-EUROPE	even	odd	31623
18	-0.0245211990299994	0.000601289201868843	-0.0441000737773746	-0.00492349534450563	0.468796114978645	HGDP	q1	AFRICA-EUROPE	even	odd	31623
19	-0.010505773343686	0.000110371273548904	-0.0300996454106494	0.00909616968615183	0.468906486252194	HGDP	q1	AFRICA-EUROPE	even	odd	31623
20	0.0237922092608893	0.000566069221513946	0.00419409508679196	0.0433720536180548	0.469472555473708	HGDP	q1	AFRICA-EUROPE	even	odd	31623
21	-0.0203292246020051	0.000413277372918768	-0.0399133909448642	-0.000729445250420479	0.469885832846627	HGDP	q1	AFRICA-EUROPE	even	odd	31623
22	0.00213764031791361	4.5695061287698e-06	-0.0174631613539989	0.0217367995937875	0.469890402352755	HGDP	q1	AFRICA-EUROPE	even	odd	31623
23	0.0131022113794225	0.000171667943031069	-0.00649952772911445	0.0326938854524819	0.470062070295786	HGDP	q1	AFRICA-EUROPE	even	odd	31623
24	0.0229257266233144	0.000525588941206946	0.00332715166296866	0.0425066964179502	0.470587659236993	HGDP	q1	AFRICA-EUROPE	even	odd	31623
25	0.0189839986118134	0.000360392203293333	-0.000616300708227416	0.0385697172964756	0.470948051440287	HGDP	q1	AFRICA-EUROPE	even	odd	31623
26	0.0110062749321625	0.000121138087882348	-0.00859564935575545	0.030599743842519	0.471069189528169	HGDP	q1	AFRICA-EUROPE	even	odd	31623
27	-0.0258431202785857	0.000667866865733446	-0.0454201837328268	-0.00624621415236587	0.471737056393902	HGDP	q1	AFRICA-EUROPE	even	odd	31623
28	-0.0396884767585016	0.00157517518741012	-0.0592424622315626	-0.0201040456316064	0.473312231581313	HGDP	q1	AFRICA-EUROPE	even	odd	31623
29	0.0269046687739715	0.000723861201837116	0.00730845276302584	0.0464802281997307	0.47403609278315	HGDP	q1	AFRICA-EUROPE	even	odd	31623
30	-0.0184271027686277	0.000339558116445568	-0.0380134433602227	0.00117339103007573	0.474375650899595	HGDP	q1	AFRICA-EUROPE	even	odd	31623
31	-0.0118482890341877	0.000140381953037652	-0.0314410575645807	0.00775358156120751	0.474516032852633	HGDP	q1	AFRICA-EUROPE	even	odd	31623
32	0.0272201886314584	0.000740938669132176	0.00762418626691093	0.0467952925213039	0.475256971521765	HGDP	q1	AFRICA-EUROPE	even	odd	31623
33	-0.0023851118275442	5.68875842989124e-06	-0.0219841541065472	0.0172157629832472	0.475262660280195	HGDP	q1	AFRICA-EUROPE	even	odd	31623
34	-0.0094670274683887	8.96246090872262e-05	-0.02906170494326	0.0101349231133264	0.475352284889282	HGDP	q1	AFRICA-EUROPE	even	odd	31623
35	-0.0138824427739072	0.000192722217370808	-0.0334734047680321	0.0057191834000082	0.475545007106653	HGDP	q1	AFRICA-EUROPE	even	odd	31623
36	-0.0144906816215417	0.000209979853856887	-0.034081071973017	0.00511083995303907	0.47575498696051	HGDP	q1	AFRICA-EUROPE	even	odd	31623
37	-0.0183492573221793	0.00033669524427555	-0.0379356838797241	0.00125126269248067	0.476091682204785	HGDP	q1	AFRICA-EUROPE	even	odd	31623
38	-0.0273170355328373	0.000746220430302294	-0.0468919988174958	-0.00772109952945913	0.476837902635088	HGDP	q1	AFRICA-EUROPE	even	odd	31623
39	0.00877742191071945	7.70431353987779e-05	-0.0108245103194217	0.028372610743259	0.476914945770487	HGDP	q1	AFRICA-EUROPE	even	odd	31623
40	0.0176051181418352	0.000309940184787975	-0.00199564047908443	0.0371923544925479	0.477224885955275	HGDP	q1	AFRICA-EUROPE	even	odd	31623
1	0.640007361645991	0.409609422961062	0.628288663441261	0.651435699059055	0.409609422961062	HGDP	q1	AFRICA-EUROPE	even	odd	100000
2	-0.0663909142094531	0.00440775348956696	-0.085879232437694	-0.0468518109024107	0.414017176450629	HGDP	q1	AFRICA-EUROPE	even	odd	100000
3	-0.362188676367944	0.131180637289163	-0.379097561813539	-0.345038004735244	0.545197813739792	HGDP	q1	AFRICA-EUROPE	even	odd	100000
4	0.0148228163735288	0.000219715885243353	-0.00477864195902895	0.0344128884597879	0.545417529625035	HGDP	q1	AFRICA-EUROPE	even	odd	100000
5	-0.0082073999573552	6.73614140599942e-05	-0.0278029974132404	0.011394503028494	0.545484891039096	HGDP	q1	AFRICA-EUROPE	even	odd	100000
6	0.0652414036151005	0.00425644074566845	0.0456997715596186	0.0847331223167283	0.549741331784764	HGDP	q1	AFRICA-EUROPE	even	odd	100000
7	0.16094520379699	0.0259033586252546	0.141792423277409	0.179977527980971	0.575644690410019	HGDP	q1	AFRICA-EUROPE	even	odd	100000
8	0.00266117335666993	7.08184363424991e-06	-0.016939780210571	0.0222600822910668	0.575651772253653	HGDP	q1	AFRICA-EUROPE	even	odd	100000
9	-0.0178585379096863	0.000318927376271704	-0.0374455009158071	0.0017421418919159	0.575970699629924	HGDP	q1	AFRICA-EUROPE	even	odd	100000
10	-0.0217060429852255	0.000471152302076458	-0.0412885471894058	-0.00210686932950624	0.576441851932001	HGDP	q1	AFRICA-EUROPE	even	odd	100000
11	0.0392144592278649	0.00153777381253388	0.0196294765620658	0.0587693587396701	0.577979625744535	HGDP	q1	AFRICA-EUROPE	even	odd	100000
12	-0.00785566549330302	6.17114803426718e-05	-0.0274515087428824	0.011746213091972	0.578041337224878	HGDP	q1	AFRICA-EUROPE	even	odd	100000
13	0.0527756496381525	0.00278526919472903	0.0332099322033476	0.0723009310924563	0.580826606419607	HGDP	q1	AFRICA-EUROPE	even	odd	100000
14	0.0238523876106904	0.000568936394730618	0.00425430653288855	0.0434321527136883	0.581395542814337	HGDP	q1	AFRICA-EUROPE	even	odd	100000
15	0.08652051240194	0.00748579906629425	0.067034119402452	0.105940926922103	0.588881341880631	HGDP	q1	AFRICA-EUROPE	even	odd	100000
16	0.0416211291446193	0.00173231839127307	0.0220390380838509	0.061171297006847	0.590613660271905	HGDP	q1	AFRICA-EUROPE	even	odd	100000
17	0.0292420195380344	0.000855095706662785	0.00964747894630576	0.0488141119452199	0.591468755978567	HGDP	q1	AFRICA-EUROPE	even	odd	100000
18	-0.032687653642364	0.00106848270064315	-0.0522542453789062	-0.0130959739727656	0.59253723867921	HGDP	q1	AFRICA-EUROPE	even	odd	100000
19	-0.0134252582569694	0.000180237559266326	-0.033016640392356	0.00617643698809067	0.592717476238477	HGDP	q1	AFRICA-EUROPE	even	odd	100000
20	0.0268939726384806	0.000723285764279343	0.00729774945338566	0.0464695474386703	0.593440762002756	HGDP	q1	AFRICA-EUROPE	even	odd	100000
21	-0.0359165938805934	0.00129000171598348	-0.0554776094345927	-0.0163280182768252	0.59473076371874	HGDP	q1	AFRICA-EUROPE	even	odd	100000
22	0.0181618810432087	0.000329853923027664	-0.00143870109930429	0.0377485135506949	0.595060617641767	HGDP	q1	AFRICA-EUROPE	even	odd	100000
23	0.0198455165932187	0.000393844528851717	0.000245542100465707	0.0394302492727099	0.595454462170619	HGDP	q1	AFRICA-EUROPE	even	odd	100000
