D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	gammaF	dataset	gwas	contrasts	L
33526292.6417236	9999	1938266121849	2.33728652340072e-128	0.0106029970800449	3161963772	2.98084953581177e-11	3.35295959878469e-08	0.000889020415543392	0.999110979584457	0.999999209642701	HGDP	q3	Lat	316228
105373228.426434	9999	19147017953413	2.07446347365686e-128	0.0105383766803114	9999000000	7.25899156443091e-12	1.05383766803114e-08	0.000688814965021388	0.999311185034979	0.999999525533944	HGDP	q3	Lat	1000000
140736211.465405	9999	34154849358341	2.04605439675219e-128	0.010564871292286	13321147752	5.26116125259287e-12	7.93010857759665e-09	0.00066344126327049	0.99933655873673	0.99999955984569	HGDP	q3	Lat	pruneall
685423721.231901	9999	810097717404336	1.95175312292536e-128	0.00975786652994036	70243194978	2.00134377117045e-12	1.38901579666802e-09	0.0014408358608817	0.998559164139118	0.999997923992022	HGDP	q3	Lat	all
16233.8940679677	9999	578734	1.24501062239388e-16	0.00162355176197297	9999000	9.42377772655389e-07	1.62355176197296e-06	0.580442086743325	0.419557913256675	0.663086983937055	HGDP	q3	Long	1000
30203.0324481761	9999	1601414	1.10885119591729e-57	0.000955283145271392	31616838	9.5320713610536e-08	3.02113581679757e-07	0.315512838186721	0.684487161813279	0.90045164893936	HGDP	q3	Long	3162
91801.4107203721	9999	14552257	2.61101450369575e-102	0.000918105917795501	99990000	1.0355524443777e-08	9.18105917795501e-08	0.112792263322319	0.887207736677681	0.987277905334629	HGDP	q3	Long	10000
248914.145004209	9999	106825694	1.61196159256831e-118	0.000787208800265943	316198377	1.15083208957278e-09	2.48935521698113e-08	0.0462301274531808	0.953769872546819	0.997862775315663	HGDP	q3	Long	31623
789953.198489593	9999	1076011568	2.8754107189681e-125	0.000790032201709764	999900000	1.46781881884001e-10	7.90032201709764e-09	0.0185792277284824	0.981420772271518	0.999654812297013	HGDP	q3	Long	100000
2440288.79481889	9999	10268553985	2.09230492026679e-127	0.000771763679403374	3161963772	2.5284325661355e-11	2.44052923651092e-09	0.0103601814242154	0.989639818575785	0.999892666640857	HGDP	q3	Long	316228
7796596.82101493	9999	104818882763	4.10266298838352e-128	0.000779738435605516	9998990001	5.87510544637476e-12	7.79739215344731e-10	0.00753470561792549	0.992465294382075	0.999943228211251	HGDP	q3	Long	1000000
10355014.5117602	9999	184897681167	3.4151305359658e-128	0.000777336510677579	13321147752	4.22632560184748e-12	5.83477333557701e-10	0.00724334152978633	0.992756658470214	0.999947534003483	HGDP	q3	Long	pruneall
58525105.7737849	9999	5905775583114	2.09949592366759e-128	0.000833178299935172	70243194978	2.0996092584191e-12	1.1860152180807e-10	0.0177030549558786	0.982296945044121	0.999686601845229	HGDP	q3	Long	all
157261.668105525	9999	54134697	2.03966426620985e-89	0.015727739584511	9999000	9.91031691953639e-07	1.5727739584511e-05	0.0630117053139428	0.936988294686057	0.996029524993429	HGDP	q4	AFRICA-EUROPE	1000
450172.592187536	9999	356897921	2.22760775372083e-120	0.0142383812128062	31616838	9.57260039996404e-08	4.50296686047001e-06	0.0212584296011561	0.978741570398844	0.999548079170893	HGDP	q4	AFRICA-EUROPE	3162
1477300.10288245	9999	3770098859	1.64650104294733e-126	0.0147744784766722	99990000	1.040817882996e-08	1.47744784766722e-06	0.00704470133845591	0.992955298661544	0.999950372183052	HGDP	q4	AFRICA-EUROPE	10000
4747480.3822543	9999	38866855158	6.7200060214586e-128	0.0150142465223795	316198377	1.18436477056326e-09	4.74788809486118e-07	0.00249450860445751	0.997505491395543	0.999993777426822	HGDP	q4	AFRICA-EUROPE	31623
15110076.9967972	9999	393711659788	2.89148749063035e-128	0.0151115881556128	999900000	1.60575402608984e-10	1.51115881556128e-07	0.0010625977955159	0.998937402204484	0.999998870885925	HGDP	q4	AFRICA-EUROPE	100000
46980608.3071248	9999	3806094873251	2.22417318763517e-128	0.0148580476231733	3161963772	3.04229023812075e-11	4.6985237307175e-08	0.000647499174736778	0.999352500825263	0.999999580744819	HGDP	q4	AFRICA-EUROPE	316228
149984201.833564	9999	38791111773750	2.04158062299932e-128	0.0149999351753091	9998990001	7.47258292331715e-12	1.49999501752593e-08	0.000498173849646668	0.999501826150353	0.999999751822816	HGDP	q4	AFRICA-EUROPE	1000000
202040305.60927	9999	70390999047121	2.02117844095082e-128	0.0149911424177504	13477312134	5.37761270173654e-12	1.1122131144899e-08	0.000483505600831088	0.999516494399169	0.999999766222334	HGDP	q4	AFRICA-EUROPE	pruneall
995256303.013734	9999	1708007508941610	1.9475936592624e-128	0.0141360171076629	70405708725	1.950930195996e-12	2.0075933843889e-09	0.000971775565294487	0.999028224434706	0.999999055652251	HGDP	q4	AFRICA-EUROPE	all
173708.061219351	9999	66487991	5.85081970338487e-90	0.0173725433762728	9999000	9.66530331146475e-07	1.73725433762727e-05	0.0556355111748667	0.944364488825133	0.996904689896311	HGDP	q4	Lat	1000
399374.343787034	9999	281407482	1.74810555851008e-119	0.0126316978246539	31616838	1.05075858179145e-07	3.99484434682285e-06	0.0263028666593014	0.973697133340699	0.999308159205503	HGDP	q4	Lat	3162
1372148.12991927	9999	3252582081	2.23567988627496e-126	0.0137228535845512	99990000	1.0459508403519e-08	1.37228535845512e-06	0.00762196312820393	0.992378036871796	0.999941905678072	HGDP	q4	Lat	10000
4066238.07925196	9999	28561374474	1.34899112252393e-127	0.0128597689774099	316198377	1.16759716904279e-09	4.06658728691456e-07	0.00287119662425513	0.997128803375745	0.999991756229945	HGDP	q4	Lat	31623
12825244.8119531	9999	283645275148	3.09485088533866e-128	0.0128265274646996	999900000	1.62225483803052e-10	1.28265274646996e-07	0.00126476541877386	0.998735234581226	0.999998400368435	HGDP	q4	Lat	100000
40016375.8432879	9999	2761321301470	2.27116804635573e-128	0.0126555453283947	3161963772	2.97333530362621e-11	4.00203186574076e-08	0.000742956428977822	0.999257043571022	0.999999448015745	HGDP	q4	Lat	316228
127323717.92311	9999	27954991912138	2.05508546199849e-128	0.0127336451568267	9999000000	7.26481417013896e-12	1.27336451568267e-08	0.000570521172897942	0.999429478827102	0.999999674505591	HGDP	q4	Lat	1000000
171900099.704133	9999	50955755257430	2.03124274926391e-128	0.0127547761745809	13477312134	5.19924093103888e-12	9.46294080760321e-09	0.000549431834854281	0.999450568165146	0.999999698124659	HGDP	q4	Lat	pruneall
827998402.758155	9999	1182166236041850	1.9494359896548e-128	0.0117603873003006	70405708725	1.99350657286463e-12	1.67020707191533e-09	0.00119356851397985	0.99880643148602	0.999998575394202	HGDP	q4	Lat	all
31223.3254058987	9999	2145068	6.85575298948675e-48	0.00312264480507038	9999000	1.03026956039667e-06	3.12264480507033e-06	0.329934918862302	0.670065081137698	0.891142949315326	HGDP	q4	Long	1000
61359.3710174131	9999	6626516	7.2066838550673e-89	0.00194071813941081	31616838	1.02414481259516e-07	6.13762852438587e-07	0.166863277652934	0.833136722347066	0.97215664657092	HGDP	q4	Long	3162
160994.530561803	9999	44764982	4.46044609716754e-113	0.00161010631624965	99990000	1.03788559137941e-08	1.61010631624965e-07	0.0644606869064964	0.935539313093504	0.995844819843543	HGDP	q4	Long	10000
554037.09693635	9999	530206734	1.01991703780472e-123	0.00175218197573591	316198377	1.14819798403686e-09	5.54084677524559e-08	0.0207224280080542	0.979277571991946	0.999570580977451	HGDP	q4	Long	31623
1662535.92994999	9999	4766230807	6.36145583543774e-127	0.00166270220017	999900000	1.50185759244849e-10	1.66270220017e-08	0.00903263129317406	0.990967368706826	0.999918411571922	HGDP	q4	Long	100000
5229892.96009315	9999	47164966024	5.92822348457019e-128	0.00165400677415063	3161953773	2.56194968249909e-11	5.23044134166479e-09	0.00489815202034872	0.995101847979651	0.999976008106785	HGDP	q4	Long	316228
