PC	B	B2	lc	uc	r2	dataset	gwas	contrasts	gwas_type	test_type
13	-9.27174495301024e-05	8.59652544736708e-09	-0.0196927516646395	0.0195073880027584	0.999603248502318	TestExample	PC_stats	Afr-Eur	even	all
14	9.68304598318069e-05	9.37613795123917e-09	-0.0195032765572474	0.0196968630796014	0.999603257878456	TestExample	PC_stats	Afr-Eur	even	all
15	5.90750947633689e-05	3.48986682130101e-09	-0.0195410175334384	0.0196591223340643	0.999603261368323	TestExample	PC_stats	Afr-Eur	even	all
16	7.75270204496258e-05	6.0104388997967e-09	-0.0195225726469101	0.0196775671218238	0.999603267378762	TestExample	PC_stats	Afr-Eur	even	all
17	0.000148323002065518	2.19997129417278e-08	-0.0194518035492012	0.0197483355929917	0.999603289378475	TestExample	PC_stats	Afr-Eur	even	all
18	0.000129920488869591	1.68793334281135e-08	-0.0194701990931588	0.0197299402496766	0.999603306257808	TestExample	PC_stats	Afr-Eur	even	all
19	0.00046717748663768	2.18254804021099e-07	-0.0191330677114691	0.0200670637404523	0.999603524512612	TestExample	PC_stats	Afr-Eur	even	all
20	0.000202350243814087	4.09456211716206e-08	-0.0193977966915057	0.0198023417082903	0.999603565458233	TestExample	PC_stats	Afr-Eur	even	all
21	-3.11954597651171e-05	9.73156709957038e-10	-0.0196312534586918	0.0195688865074284	0.99960356643139	TestExample	PC_stats	Afr-Eur	even	all
22	-0.000306721685590245	9.40781924113211e-08	-0.0199066720134529	0.019293464304339	0.999603660509582	TestExample	PC_stats	Afr-Eur	even	all
23	0.000344980254918967	1.19011376283955e-07	-0.0192552199440182	0.0199449153967649	0.999603779520959	TestExample	PC_stats	Afr-Eur	even	all
24	0.00020870598390683	4.35581877185181e-08	-0.0193914433418643	0.019808694955558	0.999603823079146	TestExample	PC_stats	Afr-Eur	even	all
25	0.000131095832102642	1.7186117194684e-08	-0.0194690241954381	0.0197311151353759	0.999603840265264	TestExample	PC_stats	Afr-Eur	even	all
26	-1.83923792135695e-06	3.38279613135742e-12	-0.0196019085334151	0.0195982314707058	0.999603840268646	TestExample	PC_stats	Afr-Eur	even	all
27	-8.18660886959038e-05	6.70205647836559e-09	-0.0196819045096112	0.0195182352320216	0.999603846970703	TestExample	PC_stats	Afr-Eur	even	all
28	-5.99582589039825e-05	3.59499281079699e-09	-0.0196600051568665	0.0195401347065169	0.999603850565695	TestExample	PC_stats	Afr-Eur	even	all
29	-0.000192774754968968	3.71621061533457e-08	-0.0197927699721195	0.0194073685759338	0.999603887727802	TestExample	PC_stats	Afr-Eur	even	all
30	-0.000235448790102835	5.54361327608889e-08	-0.0198354272554466	0.0193647105765375	0.999603943163934	TestExample	PC_stats	Afr-Eur	even	all
31	-8.15383050069001e-05	6.64849518339827e-09	-0.0196815768528939	0.0195185628908377	0.99960394981243	TestExample	PC_stats	Afr-Eur	even	all
32	-9.74353829663178e-06	9.49365385379301e-11	-0.0196098097954589	0.0195903302050745	0.999603949907366	TestExample	PC_stats	Afr-Eur	even	all
33	0.00022751322021257	5.17622653714932e-08	-0.0193726431698583	0.0198274948060865	0.999604001669632	TestExample	PC_stats	Afr-Eur	even	all
34	-3.08644054116618e-05	9.52611521415416e-10	-0.0196309225319196	0.0195692174350056	0.999604002622243	TestExample	PC_stats	Afr-Eur	even	all
35	-5.09241852035223e-05	2.59327263864264e-09	-0.0196509745733468	0.0195491653292891	0.999604005215516	TestExample	PC_stats	Afr-Eur	even	all
36	0.000108970993653501	1.18746774578314e-08	-0.0194911406384136	0.0197089989005297	0.999604017090193	TestExample	PC_stats	Afr-Eur	even	all
37	6.6212605696175e-05	4.38410915307714e-09	-0.0195338827469509	0.0196662570855109	0.999604021474302	TestExample	PC_stats	Afr-Eur	even	all
38	-0.000155634083359511	2.42219679031551e-08	-0.0197556438221013	0.0194444952330124	0.99960404569627	TestExample	PC_stats	Afr-Eur	even	all
39	2.01856117645899e-05	4.07458922310749e-10	-0.019579892136939	0.0196202478513482	0.999604046103729	TestExample	PC_stats	Afr-Eur	even	all
40	0.000150365831826892	2.26098833809933e-08	-0.019449761492264	0.0197503776260193	0.999604068713612	TestExample	PC_stats	Afr-Eur	even	all
1	-0.999769568510682	0.999539190120035	-0.99977842683286	-0.99976035608214	0.999539190120035	TestExample	PC_stats	Afr-Eur	all	odd
2	-0.00295131845678161	8.71028063333979e-06	-0.0225500840256575	0.0166497146655447	0.999547900400668	TestExample	PC_stats	Afr-Eur	all	odd
3	-0.00106758587150469	1.13973959303642e-06	-0.0206672234169867	0.0185328719264787	0.999549040140261	TestExample	PC_stats	Afr-Eur	all	odd
4	-0.000370692539422809	1.37412958783731e-07	-0.019970617443037	0.0192295171766786	0.99954917755322	TestExample	PC_stats	Afr-Eur	all	odd
5	0.000159099678379748	2.53127076605393e-08	-0.0194410309479742	0.0197591080643987	0.999549202865927	TestExample	PC_stats	Afr-Eur	all	odd
6	-0.00183493675975474	3.36699291229923e-06	-0.0214342358819684	0.0177657721863956	0.99955256985884	TestExample	PC_stats	Afr-Eur	all	odd
7	-0.000136482992260359	1.86276071763413e-08	-0.0197365001977451	0.0194636390765841	0.999552588486447	TestExample	PC_stats	Afr-Eur	all	odd
8	8.07345509064577e-05	6.51806771006742e-09	-0.0195193663387212	0.0196807734101213	0.999552595004515	TestExample	PC_stats	Afr-Eur	all	odd
9	5.14609210732801e-05	2.64822639771036e-09	-0.0195486287985366	0.0196515111019459	0.999552597652741	TestExample	PC_stats	Afr-Eur	all	odd
10	8.62997490904464e-05	7.447646693074e-09	-0.0195138032602661	0.0196863364521507	0.999552605100388	TestExample	PC_stats	Afr-Eur	all	odd
11	0.000233593974401756	5.45661448768081e-08	-0.0193665646967329	0.0198335731693418	0.999552659666533	TestExample	PC_stats	Afr-Eur	all	odd
12	0.000136909270647104	1.8744148389122e-08	-0.0194632129596743	0.0197369263100882	0.999552678410681	TestExample	PC_stats	Afr-Eur	all	odd
13	-0.000190785875282995	3.63992502074985e-08	-0.0197907818714332	0.0194093567065127	0.999552714809931	TestExample	PC_stats	Afr-Eur	all	odd
14	-0.000134682099878531	1.81392680276906e-08	-0.0197347000067668	0.019465439286698	0.999552732949199	TestExample	PC_stats	Afr-Eur	all	odd
15	0.000175613134558039	3.08399730293e-08	-0.0194245237273569	0.0197756150684298	0.999552763789172	TestExample	PC_stats	Afr-Eur	all	odd
16	0.000244258048051195	5.96619940377798e-08	-0.0193559046199819	0.0198442330464115	0.999552823451166	TestExample	PC_stats	Afr-Eur	all	odd
17	-0.000410951582358702	1.68881203043121e-07	-0.0200108604034127	0.0191892729832171	0.999552992332369	TestExample	PC_stats	Afr-Eur	all	odd
18	5.81584116401493e-05	3.38240084450505e-09	-0.0195419338665117	0.0196582060052021	0.99955299571477	TestExample	PC_stats	Afr-Eur	all	odd
19	0.000241298958717307	5.82251874780566e-08	-0.0193588626006948	0.019841275122	0.999553053939958	TestExample	PC_stats	Afr-Eur	all	odd
20	-0.000301429066999351	9.08594824320991e-08	-0.019901381491151	0.0192987549527663	0.99955314479944	TestExample	PC_stats	Afr-Eur	all	odd
21	8.23449105237879e-06	6.78068428917064e-11	-0.0195918386731305	0.0196083013284659	0.999553144867247	TestExample	PC_stats	Afr-Eur	all	odd
22	0.000147138280705098	2.16496736488522e-08	-0.019452987822294	0.0197471513336153	0.99955316651692	TestExample	PC_stats	Afr-Eur	all	odd
23	-0.000256607291857639	6.58473022345117e-08	-0.0198565774249135	0.0193435599991081	0.999553232364223	TestExample	PC_stats	Afr-Eur	all	odd
24	-5.66405033158799e-05	3.2081466158762e-09	-0.0196566886834158	0.0195434511951262	0.999553235572369	TestExample	PC_stats	Afr-Eur	all	odd
25	-0.000119065297619011	1.41765450971036e-08	-0.0197190892815404	0.019481050167204	0.999553249748914	TestExample	PC_stats	Afr-Eur	all	odd
26	-0.000132348983782739	1.75162535083238e-08	-0.0197323677991737	0.019467771518704	0.999553267265168	TestExample	PC_stats	Afr-Eur	all	odd
27	0.000119522955219388	1.42857368243758e-08	-0.0194805926832793	0.0197195467611864	0.999553281550905	TestExample	PC_stats	Afr-Eur	all	odd
28	2.0647977085368e-05	4.26338957717884e-10	-0.0195794299488718	0.0196207100386755	0.999553281977244	TestExample	PC_stats	Afr-Eur	all	odd
29	0.000263900394519527	6.96434182275618e-08	-0.0193362696238084	0.0198638676514621	0.999553351620662	TestExample	PC_stats	Afr-Eur	all	odd
30	-0.000341868981299729	1.16874400374915e-07	-0.0199418053602494	0.0192583300642712	0.999553468495062	TestExample	PC_stats	Afr-Eur	all	odd
31	0.000187794943681699	3.52669408724124e-08	-0.0194123465112944	0.0197877921110211	0.999553503762003	TestExample	PC_stats	Afr-Eur	all	odd
32	-0.00015330067009537	2.35010954516895e-08	-0.0197533113193712	0.0194468277639899	0.999553527263099	TestExample	PC_stats	Afr-Eur	all	odd
33	-7.10029918549899e-05	5.04142485235976e-09	-0.0196710456185033	0.0195290941882015	0.999553532304524	TestExample	PC_stats	Afr-Eur	all	odd
34	-0.000107711673888895	1.16018046919478e-08	-0.0197077400698951	0.0194923994797407	0.999553543906328	TestExample	PC_stats	Afr-Eur	all	odd
35	-0.000183776853413191	3.37739318504533e-08	-0.0197837755936049	0.0194163630872143	0.99955357768026	TestExample	PC_stats	Afr-Eur	all	odd
36	-5.17351820229036e-05	2.67652905894297e-09	-0.0196517852569802	0.0195483546423933	0.999553580356789	TestExample	PC_stats	Afr-Eur	all	odd
37	-0.000122964567220878	1.51202847918178e-08	-0.019722987034698	0.0194771523770659	0.999553595477074	TestExample	PC_stats	Afr-Eur	all	odd
38	-8.88598153098521e-05	7.89606677690103e-09	-0.0196888955261024	0.0195112441687431	0.999553603373141	TestExample	PC_stats	Afr-Eur	all	odd
39	-8.8764348518626e-05	7.8791095679361e-09	-0.0196888000963181	0.0195113395991918	0.99955361125225	TestExample	PC_stats	Afr-Eur	all	odd
40	-0.000513552497129235	2.63736167307672e-07	-0.0201134200443099	0.0190867096254205	0.999553874988418	TestExample	PC_stats	Afr-Eur	all	odd
1	-0.999933099161345	0.999866202798412	-0.999935671187345	-0.999930424302923	0.999866202798412	TestExample	PC_stats	Afr-Eur	all	all
2	-0.00331662108183134	1.09999754004481e-05	-0.0229152014582489	0.0162845075110782	0.999877202773813	TestExample	PC_stats	Afr-Eur	all	all
3	-0.00123782831951427	1.53221894859152e-06	-0.0208373927747837	0.0183626871893464	0.999878734992761	TestExample	PC_stats	Afr-Eur	all	all
4	-0.00036272750837378	1.31571245331051e-07	-0.0199626555863089	0.0192374792623146	0.999878866564007	TestExample	PC_stats	Afr-Eur	all	all
5	0.000120557013360066	1.45339934702992e-08	-0.0194795590175212	0.0197205804172165	0.999878881098	TestExample	PC_stats	Afr-Eur	all	all
6	-0.00194102243333279	3.76756808670116e-06	-0.0215402729535335	0.01765971941826	0.999882648666087	TestExample	PC_stats	Afr-Eur	all	all
7	-6.07577586496799e-05	3.69150523613275e-09	-0.0196608043475832	0.0195393355120183	0.999882652357592	TestExample	PC_stats	Afr-Eur	all	all
8	-3.66589676930086e-05	1.34387991231704e-09	-0.0196367148604801	0.0195634250911133	0.999882653701472	TestExample	PC_stats	Afr-Eur	all	all
9	1.67663756070676e-05	2.81111350997273e-10	-0.0195833100620288	0.0196168299312092	0.999882653982583	TestExample	PC_stats	Afr-Eur	all	all
10	-3.48473400228293e-05	1.21433710666668e-09	-0.0196349039313079	0.0195652360253617	0.999882655196921	TestExample	PC_stats	Afr-Eur	all	all
11	0.00011585131305951	1.34215267376126e-08	-0.0194842629318631	0.0197158765464667	0.999882668618447	TestExample	PC_stats	Afr-Eur	all	all
12	-3.28180327168318e-05	1.07702327140304e-09	-0.0196328754062764	0.0195672645557738	0.99988266969547	TestExample	PC_stats	Afr-Eur	all	all
13	-6.30403343822134e-06	3.97408375902128e-11	-0.0196063716130115	0.0195937683896847	0.999882669735211	TestExample	PC_stats	Afr-Eur	all	all
14	-1.46317275252125e-05	2.14087450372061e-10	-0.0196146961044928	0.0195854438913716	0.999882669949299	TestExample	PC_stats	Afr-Eur	all	all
15	0.000133179719476977	1.77368376799664e-08	-0.0194669410978256	0.0197331982114084	0.999882687686137	TestExample	PC_stats	Afr-Eur	all	all
16	0.000144159799063431	2.07820476660087e-08	-0.019455965176713	0.0197441740131942	0.999882708468184	TestExample	PC_stats	Afr-Eur	all	all
17	-0.000166350997238568	2.76726542822662e-08	-0.0197663565513339	0.0194337823685644	0.999882736140839	TestExample	PC_stats	Afr-Eur	all	all
18	1.27278544850662e-05	1.61998279793019e-10	-0.0195873470340352	0.0196127929638703	0.999882736302837	TestExample	PC_stats	Afr-Eur	all	all
19	-5.47184082646425e-05	2.9941042030161e-09	-0.0196547673309554	0.0195453725559738	0.999882739296941	TestExample	PC_stats	Afr-Eur	all	all
20	-0.000298865143409046	8.93203739449095e-08	-0.0198988185826794	0.019301317921548	0.999882828617315	TestExample	PC_stats	Afr-Eur	all	all
21	1.77430026174875e-05	3.14814141884167e-10	-0.0195823338095418	0.0196178061823756	0.999882828932129	TestExample	PC_stats	Afr-Eur	all	all
22	0.000159277094026572	2.53691926815494e-08	-0.0194408535993772	0.0197592854107824	0.999882854301322	TestExample	PC_stats	Afr-Eur	all	all
23	-0.000179811717157161	3.23322536270068e-08	-0.0197798120088524	0.019420326728459	0.999882886633575	TestExample	PC_stats	Afr-Eur	all	all
24	4.31599988291347e-05	1.86278549893091e-09	-0.0195569265472644	0.0196432133839956	0.999882888496361	TestExample	PC_stats	Afr-Eur	all	all
25	-8.65194605261213e-05	7.48561704973105e-09	-0.0196865560784375	0.0195135836324915	0.999882895981978	TestExample	PC_stats	Afr-Eur	all	all
26	-8.44606109620745e-05	7.1335948040869e-09	-0.0196844980267037	0.0195156416980193	0.999882903115573	TestExample	PC_stats	Afr-Eur	all	all
27	-2.34383723985846e-06	5.49357300694734e-12	-0.019602412938844	0.0195977270651942	0.999882903121066	TestExample	PC_stats	Afr-Eur	all	all
28	3.55871398389018e-05	1.26644452191355e-09	-0.0195644965087282	0.0196356434458995	0.999882904387511	TestExample	PC_stats	Afr-Eur	all	all
29	0.000214697428109588	4.60949856368718e-08	-0.0193854541496486	0.0198146840483691	0.999882950482496	TestExample	PC_stats	Afr-Eur	all	all
30	-0.000327009420283916	1.06935160954423e-07	-0.0199269517024564	0.0192731841115342	0.999883057417657	TestExample	PC_stats	Afr-Eur	all	all
31	0.000191989039910325	3.68597914456884e-08	-0.0194081539950731	0.0197919845648264	0.999883094277449	TestExample	PC_stats	Afr-Eur	all	all
32	-4.33354699831749e-05	1.87796295866266e-09	-0.0196433887874428	0.0195567511432225	0.999883096155412	TestExample	PC_stats	Afr-Eur	all	all
33	-0.000131378494216922	1.72603087427057e-08	-0.0197313976874484	0.0194687416404585	0.999883113415721	TestExample	PC_stats	Afr-Eur	all	all
34	-1.91056265026349e-05	3.65024964058187e-10	-0.0196191682818077	0.0195809717081422	0.999883113780746	TestExample	PC_stats	Afr-Eur	all	all
35	-9.11659646503634e-05	8.3112331106313e-09	-0.0196912007813721	0.019508938897205	0.999883122091979	TestExample	PC_stats	Afr-Eur	all	all
36	-7.07813862630389e-05	5.01000464131751e-09	-0.0196708240986596	0.0195293157092764	0.999883127101983	TestExample	PC_stats	Afr-Eur	all	all
37	-5.60667325786314e-05	3.14347850204377e-09	-0.0196561151343669	0.0195440247467091	0.999883130245462	TestExample	PC_stats	Afr-Eur	all	all
38	0.00010652081912682	1.13466849074487e-08	-0.0194935898820192	0.0197065496776134	0.999883141592147	TestExample	PC_stats	Afr-Eur	all	all
39	-3.26230138627149e-05	1.06426103348689e-09	-0.0196326804625913	0.0195674594999589	0.999883142656408	TestExample	PC_stats	Afr-Eur	all	all
40	-0.000320241735659265	1.02554769258059e-07	-0.0199201867035462	0.0192799492820903	0.999883245211177	TestExample	PC_stats	Afr-Eur	all	all
1	0.15252532738111	0.0232639754927149	0.133323829914281	0.171612361012612	0.0232639754927149	TestExample	PC_stats	Afr-Eur	even	odd
2	-0.0159540825254679	0.000254532749229441	-0.0355430381792389	0.00364712793770191	0.0235185082419443	TestExample	PC_stats	Afr-Eur	even	odd
3	-0.00251596784958309	6.33009422013576e-06	-0.0221149472940857	0.0170849446649139	0.0235248383361645	TestExample	PC_stats	Afr-Eur	even	odd
4	-0.0168672345697788	0.00028450360203194	-0.0364552525026741	0.00273373920373567	0.0238093419381964	TestExample	PC_stats	Afr-Eur	even	odd
5	-0.0194686080812023	0.000379026700619456	-0.0390537757060999	0.000131512104112846	0.0241883686388159	TestExample	PC_stats	Afr-Eur	even	odd
6	0.00118611966973625	1.40687987093523e-06	-0.0184143784303861	0.0207857064451659	0.0241897755186868	TestExample	PC_stats	Afr-Eur	even	odd
7	-0.00261365907172872	6.83121374322982e-06	-0.0222125911694392	0.0169872811531512	0.02419660673243	TestExample	PC_stats	Afr-Eur	even	odd
8	-0.0149418349391687	0.000223258431349364	-0.0345317919258084	0.00465959967802946	0.0244198651637794	TestExample	PC_stats	Afr-Eur	even	odd
9	-0.00854939378402275	7.30921340742868e-05	-0.0281447476069128	0.0110525282760829	0.0244929572978537	TestExample	PC_stats	Afr-Eur	even	odd
10	0.0251040212632283	0.000630211883584619	0.00550666076162407	0.0446821058563377	0.0251231691814383	TestExample	PC_stats	Afr-Eur	even	odd
11	-0.0060257495817071	3.63096580214433e-05	-0.025622793400908	0.0135759238064432	0.0251594788394597	TestExample	PC_stats	Afr-Eur	even	odd
12	-0.011345728481394	0.000128725554773514	-0.0309389183774268	0.00825617750531609	0.0252882043942333	TestExample	PC_stats	Afr-Eur	even	odd
13	0.0089518682564858	8.01359452814782e-05	-0.0106500703776429	0.0285469294930254	0.0253683403395147	TestExample	PC_stats	Afr-Eur	even	odd
14	-0.0118419068172818	0.000140230757069184	-0.0314346807607666	0.00775996428964851	0.0255085710965839	TestExample	PC_stats	Afr-Eur	even	odd
15	0.0108384915155154	0.000117472898331899	-0.00876344014970581	0.0304320966693304	0.0256260439949158	TestExample	PC_stats	Afr-Eur	even	odd
16	-0.0260532170633837	0.000678770119351789	-0.0456299863466891	-0.00645644401132292	0.0263048141142676	TestExample	PC_stats	Afr-Eur	even	odd
17	0.00653869175954462	4.27544899263367e-05	-0.0130630523879122	0.0261354122781726	0.0263475686041939	TestExample	PC_stats	Afr-Eur	even	odd
18	0.00559729970358253	3.13297639717251e-05	-0.0140043066755428	0.0251946056693641	0.0263788983681657	TestExample	PC_stats	Afr-Eur	even	odd
19	-0.0140417034963746	0.000197169437080099	-0.0336325172118856	0.00555989669146512	0.0265760678052458	TestExample	PC_stats	Afr-Eur	even	odd
20	0.00272953547200723	7.45036389294573e-06	-0.0168714371365913	0.0223284109245504	0.0265835181691387	TestExample	PC_stats	Afr-Eur	even	odd
21	-0.0075651410563959	5.72313592031668e-05	-0.0271611836716983	0.0120367137170728	0.0266407495283419	TestExample	PC_stats	Afr-Eur	even	odd
22	0.00142465792052762	2.02965019052207e-06	-0.0181759196149815	0.0210241408572652	0.0266427791785324	TestExample	PC_stats	Afr-Eur	even	odd
23	-0.000467475701182721	2.18533531196277e-07	-0.0200673618349735	0.0191327696060259	0.0266429977120636	TestExample	PC_stats	Afr-Eur	even	odd
24	0.0113071325267328	0.000127851245977099	-0.00829477576848573	0.0309003543741214	0.0267708489580407	TestExample	PC_stats	Afr-Eur	even	odd
25	0.0127166981232895	0.000161714411158875	-0.00688508797443864	0.0323087152371581	0.0269325633691996	TestExample	PC_stats	Afr-Eur	even	odd
26	-0.00278075167845531	7.73257989723201e-06	-0.0223796019267595	0.0168202350757252	0.0269402959490968	TestExample	PC_stats	Afr-Eur	even	odd
27	-0.0169772292364666	0.000288226312547538	-0.0365651320124244	0.00262371381924103	0.0272285222616443	TestExample	PC_stats	Afr-Eur	even	odd
28	-0.00443520548193201	1.96710476669598e-05	-0.0240331862710549	0.015166182921601	0.0272481933093113	TestExample	PC_stats	Afr-Eur	even	odd
29	0.00788170862382725	6.21213308309129e-05	-0.011720171934378	0.0274775338404512	0.0273103146401422	TestExample	PC_stats	Afr-Eur	even	odd
