PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
15	-0.00792483019431077	6.28029336086596e-05	-0.0141221004757763	-0.00172695109023195	0.0711129016336387	0.902179938684124	6.52141521415214e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
16	0.00651125228040303	4.23964062590537e-05	0.000313300995999547	0.0127087033296684	0.0711552980398977	0.902179938684124	6.51429514295143e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
17	0.00178809189999583	3.19727264283068e-06	-0.00440992090121812	0.00798596732341785	0.0711584953125406	0.902179938684124	6.50133501335013e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
18	0.0142448357243629	0.000202915344814087	0.00804758230904298	0.0204409949379482	0.0713614106573547	0.902179938684124	6.49805498054981e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
19	0.00472630379205341	2.23379475347785e-05	-0.00147170324736466	0.0109239477199605	0.0713837486048894	0.902179938684124	6.49117491174912e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
20	0.00488921057959375	2.39043800916115e-05	-0.00130879300909543	0.0110868385415907	0.071407652984981	0.902179938684124	6.48745487454875e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
21	0.0106127251433507	0.000112629934968308	0.00441505162533404	0.016809583382687	0.0715202829199494	0.902179938684124	6.48285482854829e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
22	-0.00630154864899893	3.97095153757003e-05	-0.0124990244055995	-0.000103588766704446	0.071559992435325	0.902179938684124	6.48014480144802e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
23	0.00644001247187248	4.14737606378731e-05	0.000242058205480027	0.0126374719757582	0.0716014661959629	0.902179938684124	6.47678476784768e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
24	0.00135465415765611	1.83508788685499e-06	-0.00484335043572412	0.00755255467380716	0.0716033012838498	0.902179938684124	6.46991469914699e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
25	0.00582471765694494	3.39273357831261e-05	-0.00037325974638796	0.012022247565235	0.0716372286196329	0.902179938684124	6.46681466814668e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
