PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
2	-0.466580424589867	0.217697292610461	-0.471415127322624	-0.461717678302339	0.244575265074666	0.546178009052604	0.000108156081560816	SDS	e5	UK10K	even	odd	pruneall
3	-0.0419891170111777	0.00176308594737837	-0.0481745436572808	-0.0358004700491368	0.246338351022045	0.546178009052604	9.5060150601506e-05	SDS	e5	UK10K	even	odd	pruneall
4	-0.0938446981272115	0.00880682736658745	-0.0999845064617202	-0.0876977432453636	0.255145178388632	0.546178009052604	8.80475804758048e-05	SDS	e5	UK10K	even	odd	pruneall
5	0.0676599735671978	0.00457787202311391	0.0614877947964049	0.0738269778512877	0.259723050411746	0.546178009052604	7.74474744747448e-05	SDS	e5	UK10K	even	odd	pruneall
6	-0.00176593735550768	3.11853474357747e-06	-0.007963814117979	0.0044320750826488	0.25972616894649	0.546178009052604	6.75611756117561e-05	SDS	e5	UK10K	even	odd	pruneall
7	0.0142507166262569	0.000203082924361875	0.00805346402377322	0.0204468745754542	0.259929251870851	0.546178009052604	6.7029570295703e-05	SDS	e5	UK10K	even	odd	pruneall
8	0.0011262606115818	1.2684629652006e-06	-0.00507173871994243	0.00732417341316068	0.259930520333817	0.546178009052604	6.64731647316473e-05	SDS	e5	UK10K	even	odd	pruneall
9	0.00985628406963728	9.71463356613857e-05	0.00365854363788134	0.0160532673214428	0.260027666669478	0.546178009052604	6.6169861698617e-05	SDS	e5	UK10K	even	odd	pruneall
10	-0.00292252573845952	8.54115669195833e-06	-0.00912032446369247	0.00327549752108701	0.26003620782617	0.546178009052604	6.58151581515815e-05	SDS	e5	UK10K	even	odd	pruneall
11	-0.00214265987076755	4.59099132179762e-06	-0.00834051303581918	0.00405535791304426	0.260040798817492	0.546178009052604	6.56061560615606e-05	SDS	e5	UK10K	even	odd	pruneall
12	-0.00126017720868017	1.58804659727695e-06	-0.00745808288521581	0.00493782528650384	0.260042386864089	0.546178009052604	6.54754547545475e-05	SDS	e5	UK10K	even	odd	pruneall
13	0.0103729673936051	0.000107598452548795	0.00417527189903313	0.0165698660238838	0.260149985316638	0.546178009052604	6.54161541615416e-05	SDS	e5	UK10K	even	odd	pruneall
14	-0.0145348345161605	0.000211261414412171	-0.020730930869781	-0.00833762169417978	0.26036124673105	0.546178009052604	6.52835528355284e-05	SDS	e5	UK10K	even	odd	pruneall
15	0.00391696237374926	1.53425942373674e-05	-0.00228105693204395	0.0101146807458451	0.260376589325287	0.546178009052604	6.52141521415214e-05	SDS	e5	UK10K	even	odd	pruneall
16	0.00132360800673721	1.75193815549884e-06	-0.00487439590935835	0.00752151023085141	0.260378341263443	0.546178009052604	6.51429514295143e-05	SDS	e5	UK10K	even	odd	pruneall
17	-0.000704002303791268	4.95619243743413e-07	-0.0069019361161524	0.00549398559669771	0.260378836882687	0.546178009052604	6.50133501335013e-05	SDS	e5	UK10K	even	odd	pruneall
18	-0.00465275325109114	2.16481128155391e-05	-0.0108504042796445	0.00154525523849366	0.260400484995502	0.546178009052604	6.49805498054981e-05	SDS	e5	UK10K	even	odd	pruneall
19	0.000141617360381221	2.00554767613445e-08	-0.00605635188365404	0.00633957572402377	0.260400505050979	0.546178009052604	6.49117491174912e-05	SDS	e5	UK10K	even	odd	pruneall
20	0.00209281573522524	4.37987770160635e-06	-0.00410520144228633	0.00829067212342579	0.260404884928681	0.546178009052604	6.48745487454875e-05	SDS	e5	UK10K	even	odd	pruneall
21	0.00166995114709228	2.78873683367481e-06	-0.00452805964780703	0.00786783364081482	0.260407673665514	0.546178009052604	6.48285482854829e-05	SDS	e5	UK10K	even	odd	pruneall
22	0.00198425455346701	3.93726613295454e-06	-0.00421376119693031	0.00818211785515211	0.260411610931647	0.546178009052604	6.48014480144802e-05	SDS	e5	UK10K	even	odd	pruneall
23	0.003399233114078	1.15547857638444e-05	-0.00279878977986977	0.00959699484961617	0.260423165717411	0.546178009052604	6.47678476784768e-05	SDS	e5	UK10K	even	odd	pruneall
24	0.00169372739423081	2.86871248596788e-06	-0.00450428381835234	0.00789160847893518	0.260426034429897	0.546178009052604	6.46991469914699e-05	SDS	e5	UK10K	even	odd	pruneall
25	0.000640154852675706	4.09798235404254e-07	-0.00555783112702737	0.0068380916496129	0.260426444228132	0.546178009052604	6.46681466814668e-05	SDS	e5	UK10K	even	odd	pruneall
26	0.00179011740093088	3.20452030911553e-06	-0.0044078954331724	0.00798799270162548	0.260429648748442	0.546178009052604	6.46253462534625e-05	SDS	e5	UK10K	even	odd	pruneall
27	-0.00742762173298412	5.5169564608298e-05	-0.0136249584207428	-0.00122971441614153	0.26048481831305	0.546178009052604	6.45456454564546e-05	SDS	e5	UK10K	even	odd	pruneall
28	0.00205613884854848	4.22770696451026e-06	-0.0041418778631601	0.00825399758877704	0.260489046020014	0.546178009052604	6.45032450324503e-05	SDS	e5	UK10K	even	odd	pruneall
29	-0.00464977323668862	2.16203911526258e-05	-0.0108474245515223	0.00154823531023834	0.260510666411167	0.546178009052604	6.44789447894479e-05	SDS	e5	UK10K	even	odd	pruneall
30	-0.00261794659905913	6.85364439552527e-06	-0.0088157674830946	0.003580075419162	0.260517520055562	0.546178009052604	6.43520435204352e-05	SDS	e5	UK10K	even	odd	pruneall
31	-0.00826247608199576	6.8268511005552e-05	-0.0144596995212755	-0.00206461788403194	0.260585788566568	0.546178009052604	6.43306433064331e-05	SDS	e5	UK10K	even	odd	pruneall
32	0.000829278542436343	6.87702900945346e-07	-0.00536871298001853	0.00702720635186789	0.260586476269469	0.546178009052604	6.42972429724297e-05	SDS	e5	UK10K	even	odd	pruneall
33	0.00324597958126308	1.05363834419769e-05	-0.00295204373746087	0.00944375351558184	0.260597012652911	0.546178009052604	6.42323423234232e-05	SDS	e5	UK10K	even	odd	pruneall
34	-0.00712329642634107	5.07413519775234e-05	-0.0133206722476737	-0.000925373353376574	0.260647754004888	0.546178009052604	6.42146421464215e-05	SDS	e5	UK10K	even	odd	pruneall
35	-0.00330089853116911	1.08959311130744e-05	-0.00949866812747968	0.00289712466880725	0.260658649936002	0.546178009052604	6.41844418444184e-05	SDS	e5	UK10K	even	odd	pruneall
36	0.00129686020404551	1.68184638883696e-06	-0.00490114311895455	0.00749476389007432	0.26066033178239	0.546178009052604	6.41523415234152e-05	SDS	e5	UK10K	even	odd	pruneall
37	-0.00127570380935778	1.62742020920994e-06	-0.00747360864541885	0.0049222990382471	0.2606619592026	0.546178009052604	6.40966409664097e-05	SDS	e5	UK10K	even	odd	pruneall
38	-0.00164138373340477	2.69414056028577e-06	-0.0078392679108103	0.00455662655037508	0.26066465334316	0.546178009052604	6.4050440504405e-05	SDS	e5	UK10K	even	odd	pruneall
39	-0.000462868422516659	2.1424717656306e-07	-0.00666081324183455	0.00573511195874943	0.260664867590336	0.546178009052604	6.40362403624036e-05	SDS	e5	UK10K	even	odd	pruneall
40	-0.00107464496775586	1.154861806723e-06	-0.00727256045619879	0.005123353085042	0.260666022452143	0.546178009052604	6.39827398273983e-05	SDS	e5	UK10K	even	odd	pruneall
