#FID	IID
4381587	4381587
5316756	5316756
1726152	1726152
2031473	2031473
3519660	3519660
2672695	2672695
2036483	2036483
3623484	3623484
5593207	5593207
1728448	1728448
4153529	4153529
1567224	1567224
3452867	3452867
5215222	5215222
4368474	4368474
5717350	5717350
1899731	1899731
2439137	2439137
4940525	4940525
4531324	4531324
5639873	5639873
2044654	2044654
1520445	1520445
1636618	1636618
4450172	4450172
2052825	2052825
3926885	3926885
5349932	5349932
1442116	1442116
2172170	2172170
4857767	4857767
3922208	3922208
1269370	1269370
3778597	3778597
5328463	5328463
4847404	4847404
3778886	3778886
4588607	4588607
4201619	4201619
2201001	2201001
1499217	1499217
2416964	2416964
4319370	4319370
4195406	4195406
1039985	1039985
1824121	1824121
4192140	4192140
4286276	4286276
5549945	5549945
2502110	2502110
2802815	2802815
5843049	5843049
5375771	5375771
5823582	5823582
4771568	4771568
4416228	4416228
3239871	3239871
1274883	1274883
1575104	1575104
2757546	2757546
2794077	2794077
3499384	3499384
4547813	4547813
1728837	1728837
4919146	4919146
3120741	3120741
4099182	4099182
1474818	1474818
1948523	1948523
1226619	1226619
4190620	4190620
4289403	4289403
4025866	4025866
2859254	2859254
2428575	2428575
1314169	1314169
3651292	3651292
2990314	2990314
4370597	4370597
4860654	4860654
5875747	5875747
4305202	4305202
3294783	3294783
4948521	4948521
2744462	2744462
2789962	2789962
3485230	3485230
5711036	5711036
2138209	2138209
3341168	3341168
4056854	4056854
4363758	4363758
5387440	5387440
2179932	2179932
2040452	2040452
5632995	5632995
1665112	1665112
1531092	1531092
2546538	2546538
4381084	4381084
1440945	1440945
4880859	4880859
2318239	2318239
4838213	4838213
5878202	5878202
2840209	2840209
2558816	2558816
3779724	3779724
2831753	2831753
2475247	2475247
5883775	5883775
2452899	2452899
4260734	4260734
5498293	5498293
3861353	3861353
4947411	4947411
3852229	3852229
4419326	4419326
3469391	3469391
1950895	1950895
4167087	4167087
3317244	3317244
1230271	1230271
2104144	2104144
2873712	2873712
2439728	2439728
1431488	1431488
3435057	3435057
5126804	5126804
5915765	5915765
4113421	4113421
1443679	1443679
2943936	2943936
5668163	5668163
4423280	4423280
3010231	3010231
4845777	4845777
1383227	1383227
2503203	2503203
1519173	1519173
4949647	4949647
5785302	5785302
4378582	4378582
2302273	2302273
5546323	5546323
1997994	1997994
4875617	4875617
1400282	1400282
5624097	5624097
4431269	4431269
2191436	2191436
4680822	4680822
3258389	3258389
5651807	5651807
4421875	4421875
4349149	4349149
4119337	4119337
4752842	4752842
1746028	1746028
5625923	5625923
3410934	3410934
5839341	5839341
3172330	3172330
1396484	1396484
5667420	5667420
3342476	3342476
1757047	1757047
1947525	1947525
5807841	5807841
5706012	5706012
5794828	5794828
1508155	1508155
5129537	5129537
3357717	3357717
2143819	2143819
2086827	2086827
1323463	1323463
2168561	2168561
3961637	3961637
2621151	2621151
5070435	5070435
3015398	3015398
4973447	4973447
3464887	3464887
4182034	4182034
1805948	1805948
4568136	4568136
3050621	3050621
2334035	2334035
4460014	4460014
3485335	3485335
4899407	4899407
4145546	4145546
2243584	2243584
5873663	5873663
4732534	4732534
2827221	2827221
1094503	1094503
3011487	3011487
5126006	5126006
4279006	4279006
1037170	1037170
5566028	5566028
3931950	3931950
3931408	3931408
6005535	6005535
3856249	3856249
4912003	4912003
2322258	2322258
4204360	4204360
2777505	2777505
3920447	3920447
3442547	3442547
4257537	4257537
5547706	5547706
2189546	2189546
2649397	2649397
1480255	1480255
4363722	4363722
4550171	4550171
2112435	2112435
5897406	5897406
4736265	4736265
2600475	2600475
3204894	3204894
5616743	5616743
4401342	4401342
3066075	3066075
2075975	2075975
1050401	1050401
5580225	5580225
1316070	1316070
2124000	2124000
3057631	3057631
3235844	3235844
3423921	3423921
2470485	2470485
3585835	3585835
5484675	5484675
2070470	2070470
2877522	2877522
5053502	5053502
2713665	2713665
3959455	3959455
2801035	2801035
3060798	3060798
2213656	2213656
1985969	1985969
4771010	4771010
1286323	1286323
1696231	1696231
5976274	5976274
1673498	1673498
3724718	3724718
2369260	2369260
1035247	1035247
3864319	3864319
2599480	2599480
4321354	4321354
5291553	5291553
5979650	5979650
5429393	5429393
3270020	3270020
2432012	2432012
2034161	2034161
5458199	5458199
3760581	3760581
4399694	4399694
3086178	3086178
5803148	5803148
4118367	4118367
5829890	5829890
1527086	1527086
5146321	5146321
4851923	4851923
